"State","Kind","Address","Label","Folder","File","Status","Source"
"0x06","Enter","0x0048D930","CPlayerHero::EnterYoungTarzanStandingJump","06 - YoungStandingJump","enter - 0x0048D930 - EnterYoungStandingJump.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D930_CPlayerHero__EnterYoungTarzanStandingJump.c"
"0x06","Update","0x0048DBB0","CPlayerHero::UpdateYoungTarzanAirborneMovement","06 - YoungStandingJump","update - 0x0048DBB0 - UpdateYoungAirborneMovement.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DBB0_CPlayerHero__UpdateYoungTarzanAirborneMovement.c"
"0x07","Enter","0x0048DD80","CPlayerHero::EnterYoungTarzanFalling","07 - YoungFalling","enter - 0x0048DD80 - EnterYoungFalling.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DD80_CPlayerHero__EnterYoungTarzanFalling.c"
"0x07","Update","0x0048DF20","CPlayerHero::UpdateYoungTarzanFalling","07 - YoungFalling","update - 0x0048DF20 - UpdateYoungFalling.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DF20_CPlayerHero__UpdateYoungTarzanFalling.c"
"0x08","Enter","0x0048DD80","CPlayerHero::EnterYoungTarzanFalling","08 - YoungFalling","enter - 0x0048DD80 - EnterYoungFalling.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DD80_CPlayerHero__EnterYoungTarzanFalling.c"
"0x08","Update","0x0048DF20","CPlayerHero::UpdateYoungTarzanFalling","08 - YoungFalling","update - 0x0048DF20 - UpdateYoungFalling.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DF20_CPlayerHero__UpdateYoungTarzanFalling.c"
"0x09","Enter","0x0048E180","CPlayerHero::EnterYoungLandingRecovery","09 - YoungLandingRecovery","enter - 0x0048E180 - EnterYoungLandingRecovery.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048E180_CPlayerHero__EnterYoungLandingRecovery.c"
"0x09","Update","0x0048E3C0","CPlayerHero::UpdateYoungLandingRecovery","09 - YoungLandingRecovery","update - 0x0048E3C0 - UpdateYoungLandingRecovery.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048E3C0_CPlayerHero__UpdateYoungLandingRecovery.c"
"0x0A","Enter","0x0048E5E0","CPlayerHero::EnterYoungBlock","0A - YoungBlock","enter - 0x0048E5E0 - EnterYoungBlock.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048E5E0_CPlayerHero__EnterYoungBlock.c"
"0x0A","Update","0x0048E620","CPlayerHero::UpdateYoungBlockAnimation","0A - YoungBlock","update - 0x0048E620 - UpdateYoungBlockAnimation.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048E620_CPlayerHero__UpdateYoungBlockAnimation.c"
"0x0B","Enter","0x0048E5E0","CPlayerHero::EnterYoungBlock","0B - YoungBlock","enter - 0x0048E5E0 - EnterYoungBlock.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048E5E0_CPlayerHero__EnterYoungBlock.c"
"0x0B","Update","0x0048E620","CPlayerHero::UpdateYoungBlockAnimation","0B - YoungBlock","update - 0x0048E620 - UpdateYoungBlockAnimation.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048E620_CPlayerHero__UpdateYoungBlockAnimation.c"
"0x0C","Enter","0x00490FB0","CPlayerHero::EnterYoungPlayerDamage","0C - YoungPlayerDamage","enter - 0x00490FB0 - EnterYoungPlayerDamage.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490FB0_CPlayerHero__EnterYoungPlayerDamage.c"
"0x0C","Update","0x00491030","CPlayerHero::UpdateYoungPlayerDamage","0C - YoungPlayerDamage","update - 0x00491030 - UpdateYoungPlayerDamage.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491030_CPlayerHero__UpdateYoungPlayerDamage.c"
"0x0D","Enter","0x00490EA0","CPlayerHero::EnterYoungEdgeBalance","0D - YoungEdgeBalance","enter - 0x00490EA0 - EnterYoungEdgeBalance.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490EA0_CPlayerHero__EnterYoungEdgeBalance.c"
"0x0D","Update","0x00490EC0","CPlayerHero::UpdateYoungEdgeBalance","0D - YoungEdgeBalance","update - 0x00490EC0 - UpdateYoungEdgeBalance.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00490EC0_CPlayerHero__UpdateYoungEdgeBalance.c"
"0x0E","Enter","0x00491510","CPlayerHero::EnterYoungTouchSurfaceOnSurfing","0E - YoungTouchSurfaceOnSurfing","enter - 0x00491510 - EnterYoungTouchSurfaceOnSurfing.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491510_CPlayerHero__EnterYoungTouchSurfaceOnSurfing.c"
"0x0E","Update","0x00491920","CPlayerHero::UpdateYoungTreeSurfingContact","0E - YoungTouchSurfaceOnSurfing","update - 0x00491920 - UpdateYoungTreeSurfingContact.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491920_CPlayerHero__UpdateYoungTreeSurfingContact.c"
"0x0F","Enter","0x00491680","CPlayerHero::EnterYoungTreeSurfingResume","0F - YoungTreeSurfingResume","enter - 0x00491680 - EnterYoungTreeSurfingResume.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491680_CPlayerHero__EnterYoungTreeSurfingResume.c"
"0x0F","Update","0x00491920","CPlayerHero::UpdateYoungTreeSurfingContact","0F - YoungTreeSurfingResume","update - 0x00491920 - UpdateYoungTreeSurfingContact.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491920_CPlayerHero__UpdateYoungTreeSurfingContact.c"
"0x10","Enter","0x004913D0","CPlayerHero::EnterYoungTreeSurfingRebound","10 - YoungTreeSurfingRebound","enter - 0x004913D0 - EnterYoungTreeSurfingRebound.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\004913D0_CPlayerHero__EnterYoungTreeSurfingRebound.c"
"0x10","Update","0x00491920","CPlayerHero::UpdateYoungTreeSurfingContact","10 - YoungTreeSurfingRebound","update - 0x00491920 - UpdateYoungTreeSurfingContact.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491920_CPlayerHero__UpdateYoungTreeSurfingContact.c"
"0x11","Enter","0x0048DD80","CPlayerHero::EnterYoungTarzanFalling","11 - YoungFalling","enter - 0x0048DD80 - EnterYoungFalling.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DD80_CPlayerHero__EnterYoungTarzanFalling.c"
"0x11","Update","0x0048DF20","CPlayerHero::UpdateYoungTarzanFalling","11 - YoungFalling","update - 0x0048DF20 - UpdateYoungFalling.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DF20_CPlayerHero__UpdateYoungTarzanFalling.c"
"0x12","Enter","0x00491470","CPlayerHero::EnterYoungSurfingMode","12 - YoungSurfingMode","enter - 0x00491470 - EnterYoungSurfingMode.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\00491470_CPlayerHero__EnterYoungSurfingMode.c"
